ICOUNT,ID_MT,ENTIDAD,ID_TRAMO,TIPO_CALZ,PR,Latitud,Longitud,Clasificacion,Municipio,Departamento,divipola
14,4G015,ANI,Cambao_Tramo_1IbagueArmero,Sencilla,69,4.897303,-74.89093,Bajo,LÉRIDA,TOLIMA,73408
6,4G015,ANI,Cambao_Tramo_2CambaoHonda,Sencilla,93,5.094438,-74.883113,Muy Bajo,ARMERO (Guayabal),TOLIMA,73055
7,4G015,ANI,Cambao_Tramo_2CambaoHonda,Sencilla,87,5.053909,-74.881336,Bajo,ARMERO (Guayabal),TOLIMA,73055
4,4G015,ANI,Cambao_Tramo_2CambaoHonda,Sencilla,89,5.066586,-74.87998,Muy Bajo,ARMERO (Guayabal),TOLIMA,73055
9,4G005,ANI,CartBarr_Tramo_UF4,Doble,104,11.01398,-74.878922,Bajo,PUERTO COLOMBIA,ATLÁNTICO,8573
3,4G015,ANI,Cambao_Tramo_2CambaoHonda,Sencilla,91,5.079317,-74.878178,Muy Bajo,ARMERO (Guayabal),TOLIMA,73055
3,4G018,ANI,PHierro_Tramo_UF3CarrePalmardeV,Sencilla,11,10.361052,-74.86948,Muy Bajo,CAMPO DE LA CRUZ,ATLÁNTICO,8137
3,3G008,ANI,RutaCa_Tramo_BarranqCarac,Doble,112,10.924873,-74.869337,Muy Bajo,GALAPA,ATLÁNTICO,8296
2,4G017,ANI,NeivaIP_Tramo_UF5EspFlan,Doble,50,4.205017,-74.855175,Muy Bajo,FLANDES,TOLIMA,73275
2,4G005,ANI,CartBarr_Tramo_UF4,Doble,108,11.015425,-74.849854,Muy Bajo,BARRANQUILLA,ATLÁNTICO,8001
2,4G015,ANI,Cambao_Tramo_2CambaoHonda,Sencilla,33,5.195332,-74.842129,Muy Bajo,MARIQUITA,TOLIMA,73443
3,4G018,ANI,PHierro_Tramo_UF3CarrePalmardeV,Sencilla,21,10.435324,-74.838696,Muy Bajo,CAMPO DE LA CRUZ,ATLÁNTICO,8137
2,4G017,ANI,NeivaIP_Tramo_UF5EspFlan,Doble,56,4.2554,-74.838009,Muy Bajo,FLANDES,TOLIMA,73275
3,4G018,ANI,PHierro_Tramo_UF3CarrePalmardeV,Sencilla,23,10.449343,-74.837208,Muy Bajo,CAMPO DE LA CRUZ,ATLÁNTICO,8137
5,4G018,ANI,PHierro_Tramo_UF3CarrePalmardeV,Sencilla,29,10.496733,-74.8251,Muy Bajo,CANDELARIA,ATLÁNTICO,8141
3,4G018,ANI,PHierro_Tramo_UF3CarrePalmardeV,Sencilla,32,10.518236,-74.818554,Muy Bajo,PONEDERA,ATLÁNTICO,8560
3,4G018,ANI,PHierro_Tramo_UF3CarrePalmardeV,Sencilla,34,10.537434,-74.808912,Muy Bajo,PONEDERA,ATLÁNTICO,8560
2,4G018,ANI,PHierro_Tramo_UF3CarrePalmardeV,Sencilla,36,10.559321,-74.797669,Muy Bajo,PONEDERA,ATLÁNTICO,8560
3,4G010,ANI,Magdalena2_Tramo_2VegachiAltoD,Sencilla,42,6.508341,-74.786396,Muy Bajo,MACEO,ANTIOQUIA,5425
3,4G018,ANI,PHierro_Tramo_UF3CarrePalmardeV,Sencilla,40,10.582366,-74.785652,Muy Bajo,PONEDERA,ATLÁNTICO,8560
8,3G008,ANI,,,61,10.772146,-74.765522,Bajo,SANTO TOMÁS,ATLÁNTICO,8685
3,4G018,ANI,PHierro_Tramo_UF3CarrePalmardeV,Sencilla,45,10.628386,-74.761563,Muy Bajo,PONEDERA,ATLÁNTICO,8560
2,4G018,ANI,PHierro_Tramo_UF3CarrePalmardeV,Sencilla,48,10.648413,-74.761276,Muy Bajo,PONEDERA,ATLÁNTICO,8560
5,4G018,ANI,PHierro_Tramo_UF3CarrePalmardeV,Sencilla,56,10.71903,-74.755097,Muy Bajo,PALMAR DE VARELA,ATLÁNTICO,8520
3,4G018,ANI,PHierro_Tramo_UF3CarrePalmardeV,Sencilla,50,10.673561,-74.752264,Muy Bajo,PALMAR DE VARELA,ATLÁNTICO,8520
4,4G010,ANI,Magdalena2_Tramo_3AltoDPtoBerrio,Sencilla,48,6.497598,-74.751406,Muy Bajo,MACEO,ANTIOQUIA,5425
3,4G018,ANI,PHierro_Tramo_UF3CarrePalmardeV,Sencilla,52,10.693345,-74.74823,Muy Bajo,PALMAR DE VARELA,ATLÁNTICO,8520
3,4G008,ANI,GHPtoS_Tramo_UF5,Sencilla,10,5.281019,-74.741078,Muy Bajo,HONDA,TOLIMA,73349
2,4G008,ANI,GHPtoS_Tramo_UF5,Sencilla,14,5.32176,-74.739132,Muy Bajo,LA DORADA,CALDAS,17380
2,4G008,ANI,GHPtoS_Tramo_UF5,Sencilla,2,5.227518,-74.735699,Muy Bajo,HONDA,TOLIMA,73349
2,4G008,ANI,GHPtoS_Tramo_UF5,Sencilla,18,5.34854,-74.732094,Muy Bajo,LA DORADA,CALDAS,17380
2,4G008,ANI,GHPtoS_Tramo_UF5,Sencilla,5,5.244427,-74.727802,Muy Bajo,HONDA,TOLIMA,73349
2,,DEPTO,,,6,10.98341,-74.721966,Muy Bajo,SITIONUEVO,MAGDALENA,47745
2,4G008,ANI,GHPtoS_Tramo_UF5,Sencilla,20,5.363732,-74.721794,Muy Bajo,LA DORADA,CALDAS,17380
5,4G008,ANI,GHPtoS_Tramo_UF5,Sencilla,22,5.381871,-74.711409,Muy Bajo,LA DORADA,CALDAS,17380
8,,DEPTO,,,10,10.99398,-74.698522,Bajo,SITIONUEVO,MAGDALENA,47745
2,,DEPTO,,,10,11.002293,-74.689865,Muy Bajo,SITIONUEVO,MAGDALENA,47745
5,,DEPTO,,,12,11.005712,-74.674101,Muy Bajo,SITIONUEVO,MAGDALENA,47745
2,4G010,ANI,Magdalena2_Tramo_3AltoDPtoBerrio,Sencilla,60,6.452751,-74.669953,Muy Bajo,PUERTO BERRÍO,ANTIOQUIA,5579
6,,DEPTO,,,15,11.007643,-74.652958,Muy Bajo,SITIONUEVO,MAGDALENA,47745
4,4G010,ANI,Magdalena2_Tramo_3AltoDPtoBerrio,Sencilla,64,6.449919,-74.638825,Muy Bajo,PUERTO BERRÍO,ANTIOQUIA,5579
8,,DEPTO,,,18,11.013439,-74.630322,Bajo,SITIONUEVO,MAGDALENA,47745
4,,INVIAS-OTROS,RutaSol2_Tramo_SalgarCano,Doble,50,5.594359,-74.622631,Muy Bajo,PUERTO SALGAR,CUNDINAMARCA,25572
3,,INVIAS-OTROS,RutaSol2_Tramo_SalgarCano,Doble,56,5.644226,-74.617167,Muy Bajo,PUERTO SALGAR,CUNDINAMARCA,25572
3,,DEPTO,,,20,11.006727,-74.603291,Muy Bajo,SITIONUEVO,MAGDALENA,47745
5,,DEPTO,,,24,10.997379,-74.582448,Muy Bajo,SITIONUEVO,MAGDALENA,47745
4,,INVIAS-OTROS,RutaSol2_Tramo_CanoProAra,Doble,88,5.897727,-74.567557,Muy Bajo,PUERTO BOYACÁ,BOYACÁ,15572
2,,INVIAS-OTROS,RutaSol2_Tramo_CanoProAra,Doble,82,5.851507,-74.564381,Muy Bajo,PUERTO BOYACÁ,BOYACÁ,15572
4,,INVIAS-OTROS,RutaSol2_Tramo_CanoProAra,Doble,102,6.012097,-74.559059,Muy Bajo,PUERTO BOYACÁ,BOYACÁ,15572
2,,INVIAS-OTROS,RutaSol2_Tramo_CanoProAra,Doble,98,5.983086,-74.557343,Muy Bajo,PUERTO BOYACÁ,BOYACÁ,15572
8,,DEPTO,,,26,10.991335,-74.55617,Bajo,SITIONUEVO,MAGDALENA,47745
2,,INVIAS-OTROS,RutaSol2_Tramo_CanoProAra,Doble,120,6.137495,-74.554424,Muy Bajo,PUERTO BOYACÁ,BOYACÁ,15572
2,,INVIAS-OTROS,RutaSol2_Tramo_CanoProAra,Doble,114,6.081534,-74.552364,Muy Bajo,PUERTO BOYACÁ,BOYACÁ,15572
2,,INVIAS-OTROS,RutaSol2_Tramo_CanoProAra,Doble,108,6.042996,-74.548931,Muy Bajo,PUERTO BOYACÁ,BOYACÁ,15572
5,,DEPTO,,,28,10.989676,-74.536142,Muy Bajo,SITIONUEVO,MAGDALENA,47745
3,,INVIAS-OTROS,RutaSol2_Tramo_CanoProAra,Doble,1,6.237459,-74.516201,Muy Bajo,BOLIVAR,SANTANDER,68101
6,,DEPTO,,,32,10.982981,-74.513569,Muy Bajo,SITIONUEVO,MAGDALENA,47745
11,,DEPTO,,,36,10.97693,-74.477649,Bajo,PUEBLOVIEJO,MAGDALENA,47570
2,4G010,ANI,Magdalena2_Tramo_3AltoDPtoBerrio,Sencilla,88,6.495066,-74.477177,Muy Bajo,PUERTO BERRÍO,ANTIOQUIA,5579
2,,INVIAS-OTROS,RutaSol2_Tramo_CanoProAra,Doble,5,6.270704,-74.476318,Muy Bajo,CIMITARRA,SANTANDER,68190
3,,DEPTO,,,36,10.974398,-74.462757,Muy Bajo,PUEBLOVIEJO,MAGDALENA,47570
8,,DEPTO,,,40,10.972246,-74.440819,Bajo,PUEBLOVIEJO,MAGDALENA,47570
8,,DEPTO,,,42,10.973132,-74.421001,Bajo,PUEBLOVIEJO,MAGDALENA,47570
5,,DEPTO,,,44,10.972281,-74.396782,Muy Bajo,PUEBLOVIEJO,MAGDALENA,47570
2,,INVIAS-OTROS,RutaSol2_Tramo_CanoProAra,Doble,21,6.378937,-74.391346,Muy Bajo,CIMITARRA,SANTANDER,68190
5,,DEPTO,,,46,10.971222,-74.378772,Muy Bajo,PUEBLOVIEJO,MAGDALENA,47570
2,,INVIAS-OTROS,RutaSol2_Tramo_CanoProAra,Doble,25,6.390353,-74.369202,Muy Bajo,CIMITARRA,SANTANDER,68190
2,,INVIAS-OTROS,RutaSol2_Tramo_CanoProAra,Doble,35,6.439533,-74.312725,Muy Bajo,CIMITARRA,SANTANDER,68190
2,1G007,ANI,Fontibon_Tramo_TramoNo2,Doble,54,4.761372,-74.308949,Muy Bajo,MADRID,CUNDINAMARCA,25430
2,4G010,ANI,Magdalena2_Tramo_42PtoBerrioeRDS,Sencilla,114,6.485796,-74.275131,Muy Bajo,CIMITARRA,SANTANDER,68190
2,1G007,ANI,Fontibon_Tramo_TramoNo1,Doble,64,4.718886,-74.238911,Muy Bajo,MOSQUERA,CUNDINAMARCA,25473
4,,DEPTO,,,sd,11.160221,-74.225178,Muy Bajo,SANTA MARTA,MAGDALENA,47001
12,,DEPTO,,,sd,11.107435,-74.221343,Bajo,SANTA MARTA,MAGDALENA,47001
7,,DEPTO,,,75,11.093335,-74.216055,Bajo,SANTA MARTA,MAGDALENA,47001
2,,DEPTO,,,sd,11.113444,-74.213677,Muy Bajo,SANTA MARTA,MAGDALENA,47001
8,,DEPTO,,,73,11.077011,-74.213322,Bajo,CIÉNAGA,MAGDALENA,47189
2,,DEPTO,,,sd,11.145802,-74.211445,Muy Bajo,SANTA MARTA,MAGDALENA,47001
4,,DEPTO,,,71,11.061774,-74.207583,Muy Bajo,CIÉNAGA,MAGDALENA,47189
5,,DEPTO,,,69,11.047148,-74.204235,Muy Bajo,CIÉNAGA,MAGDALENA,47189
4,,DEPTO,,,69,11.03272,-74.204064,Muy Bajo,CIÉNAGA,MAGDALENA,47189
3,3G012,ANI,RutaSol3_Tramo5_BoscCarmen,Doble,77,9.865008,-74.198399,Muy Bajo,ARIGUANÍ (El Dificil),MAGDALENA,47058
2,,INVIAS-OTROS,RutaSol2_Tramo_CanoProAra,Doble,51,6.487169,-74.192219,Muy Bajo,CIMITARRA,SANTANDER,68190
3,3G012,ANI,RutaSol3_Tramo4_FundaCienaga,Doble,6,10.58271,-74.166899,Muy Bajo,ARACATACA,MAGDALENA,47053
6,3G012,ANI,RutaSol3_Tramo4_FundaCienaga,Doble,1,10.546146,-74.162908,Muy Bajo,ARACATACA,MAGDALENA,47053
3,3G012,ANI,RutaSol3_Tramo4_FundaCienaga,Doble,88,10.923872,-74.161434,Muy Bajo,ZONA BANANERA,MAGDALENA,47980
3,3G012,ANI,RutaSol3_Tramo4_FundaCienaga,Doble,54,10.663476,-74.160977,Muy Bajo,ZONA BANANERA,MAGDALENA,47980
2,3G012,ANI,RutaSol3_Tramo3_BoscFund,Doble,30,10.47864,-74.15926,Muy Bajo,FUNDACIÓN,MAGDALENA,47288
2,3G012,ANI,RutaSol3_Tramo4_FundaCienaga,Doble,58,10.685063,-74.15205,Muy Bajo,ZONA BANANERA,MAGDALENA,47980
7,3G012,ANI,RutaSol3_Tramo3_BoscFund,Doble,28,10.466838,-74.1509,Bajo,FUNDACIÓN,MAGDALENA,47288
2,3G012,ANI,RutaSol3_Tramo4_FundaCienaga,Doble,60,10.698624,-74.143982,Muy Bajo,ZONA BANANERA,MAGDALENA,47980
2,3G012,ANI,RutaSol3_Tramo4_FundaCienaga,Doble,62,10.716133,-74.134026,Muy Bajo,ZONA BANANERA,MAGDALENA,47980
2,3G012,ANI,RutaSol3_Tramo4_FundaCienaga,Doble,78,10.845051,-74.130592,Muy Bajo,ZONA BANANERA,MAGDALENA,47980
5,3G012,ANI,RutaSol3_Tramo3_BoscFund,Doble,24,10.430503,-74.128218,Muy Bajo,FUNDACIÓN,MAGDALENA,47288
7,3G012,ANI,RutaSol3_Tramo4_FundaCienaga,Doble,64,10.736966,-74.11914,Bajo,ZONA BANANERA,MAGDALENA,47980
4,3G012,ANI,RutaSol3_Tramo4_FundaCienaga,Doble,76,10.820031,-74.117375,Muy Bajo,ZONA BANANERA,MAGDALENA,47980
3,3G012,ANI,RutaSol3_Tramo4_FundaCienaga,Doble,73,10.804067,-74.109478,Muy Bajo,ZONA BANANERA,MAGDALENA,47980
5,3G012,ANI,RutaSol3_Tramo3_BoscFund,Doble,18,10.387865,-74.104466,Muy Bajo,FUNDACIÓN,MAGDALENA,47288
4,3G012,ANI,RutaSol3_Tramo3_BoscFund,Doble,17,10.372338,-74.093514,Muy Bajo,FUNDACIÓN,MAGDALENA,47288
2,,INVIAS-OTROS,RutaSol2_Tramo_PtoAraLiza,Doble,63,6.524763,-74.092999,Muy Bajo,CIMITARRA,SANTANDER,68190
5,3G012,ANI,RutaSol3_Tramo3_BoscFund,Doble,12,10.341783,-74.068794,Muy Bajo,ALGARROBO,MAGDALENA,47030
3,3G012,ANI,RutaSol3_Tramo3_BoscFund,Doble,10,10.322771,-74.056006,Muy Bajo,ALGARROBO,MAGDALENA,47030
3,3G012,ANI,RutaSol3_Tramo3_BoscFund,Doble,6,10.305262,-74.044132,Muy Bajo,ALGARROBO,MAGDALENA,47030
5,3G012,ANI,RutaSol3_Tramo3_BoscFund,Doble,4,10.286865,-74.031573,Muy Bajo,ALGARROBO,MAGDALENA,47030
5,3G012,ANI,RutaSol3_Tramo3_BoscFund,Doble,2,10.261503,-74.014607,Muy Bajo,ALGARROBO,MAGDALENA,47030
3,4G033,ANI,Devinorte_Tramo_1Ruta55,Doble,sd,4.927626,-74.011402,Muy Bajo,CAJICÁ,CUNDINAMARCA,25126
2,4G033,ANI,Devinorte_Tramo_1Ruta55,Doble,18,4.958868,-74.01043,Muy Bajo,CAJICÁ,CUNDINAMARCA,25126
3,,INVIAS-OTROS,RutaSol2_Tramo_PtoAraLiza,Doble,75,6.591826,-74.010143,Muy Bajo,CIMITARRA,SANTANDER,68190
3,4G033,ANI,Devinorte_Tramo_1Ruta55,Doble,sd,4.980498,-74.003391,Muy Bajo,CAJICÁ,CUNDINAMARCA,25126
5,3G012,ANI,RutaSol3_Tramo3_BoscFund,Doble,32,10.243704,-74.002155,Muy Bajo,EL COPEY,CESAR,20238
3,4G033,ANI,Devinorte_Tramo_2Ruta45A,Doble,13,4.912605,-74.000559,Muy Bajo,SOPÓ,CUNDINAMARCA,25758
8,4G033,ANI,Devinorte_Tramo_1Ruta55,Doble,23,4.997921,-73.99601,Bajo,ZIPAQUIRÁ,CUNDINAMARCA,25899
6,3G012,ANI,RutaSol3_Tramo3_BoscFund,Doble,31,10.229531,-73.993206,Muy Bajo,EL COPEY,CESAR,20238
2,,INVIAS-OTROS,RutaSol2_Tramo_PtoAraLiza,Doble,79,6.612225,-73.988114,Muy Bajo,PUERTO PARRA,SANTANDER,68573
3,3G012,ANI,RutaSol3_Tramo3_BoscFund,Doble,29,10.215025,-73.984051,Muy Bajo,EL COPEY,CESAR,20238
5,4G033,ANI,Devinorte_Tramo_2Ruta45A,Doble,18,4.939093,-73.970226,Muy Bajo,SOPÓ,CUNDINAMARCA,25758
4,,INVIAS-OTROS,Zipaq_Tramo_1ZipaPteOtero,Sencilla,sd,5.043583,-73.966885,Muy Bajo,COGUA,CUNDINAMARCA,25200
2,,INVIAS-OTROS,,,3,9.032135,-73.964939,Muy Bajo,EL BANCO,MAGDALENA,47245
3,3G012,ANI,RutaSol3_Tramo3_BoscFund,Doble,23,10.165587,-73.961849,Muy Bajo,EL COPEY,CESAR,20238
6,,INVIAS-OTROS,,,5,9.052327,-73.959274,Muy Bajo,EL BANCO,MAGDALENA,47245
2,4G006,ANI,POriente_Tramo_SopoLaCalera,Sencilla,17,4.76841,-73.959274,Muy Bajo,LA CALERA,CUNDINAMARCA,25377
6,,INVIAS-OTROS,,,9,9.077397,-73.95155,Muy Bajo,EL BANCO,MAGDALENA,47245
7,,INVIAS-OTROS,Americas_Tramo7_TamalaElBanco,Sencilla,sd,8.999139,-73.951452,Bajo,EL BANCO,MAGDALENA,47245
3,3G012,ANI,RutaSol3_Tramo3_BoscFund,Doble,18,10.130682,-73.947201,Muy Bajo,EL COPEY,CESAR,20238
6,,INVIAS-OTROS,,,11,9.092446,-73.9468,Muy Bajo,EL BANCO,MAGDALENA,47245
8,3G012,ANI,RutaSol3_Tramo3_BoscFund,Doble,16,10.111714,-73.942074,Bajo,EL COPEY,CESAR,20238
14,,INVIAS-OTROS,,,13,9.108022,-73.940289,Bajo,EL BANCO,MAGDALENA,47245
10,,INVIAS-OTROS,Americas_Tramo7_TamalaElBanco,Sencilla,3,8.990965,-73.936773,Bajo,EL BANCO,MAGDALENA,47245
2,3G012,ANI,RutaSol3_Tramo3_BoscFund,Doble,13,10.090943,-73.93507,Muy Bajo,EL COPEY,CESAR,20238
6,3G012,ANI,RutaSol3_Tramo3_BoscFund,Doble,13,10.074721,-73.928933,Muy Bajo,EL COPEY,CESAR,20238
12,,INVIAS-OTROS,,,15,9.121622,-73.927223,Bajo,EL BANCO,MAGDALENA,47245
2,,INVIAS-OTROS,RutaSol2_Tramo_PtoAraLiza,Doble,89,6.673079,-73.923226,Muy Bajo,PUERTO PARRA,SANTANDER,68573
3,,INVIAS-OTROS,Zipaq_Tramo_1ZipaPteOtero,Sencilla,38,5.090075,-73.922825,Muy Bajo,NEMOCÓN,CUNDINAMARCA,25486
4,,INVIAS-OTROS,Americas_Tramo7_TamalaElBanco,Sencilla,5,8.983083,-73.921423,Muy Bajo,EL BANCO,MAGDALENA,47245
4,3G012,ANI,RutaSol3_Tramo3_BoscFund,Doble,10,10.051403,-73.920307,Muy Bajo,BOSCONIA,CESAR,20060
8,,INVIAS-OTROS,,,17,9.143053,-73.916261,Bajo,EL BANCO,MAGDALENA,47245
10,,INVIAS-OTROS,,,21,9.185193,-73.911875,Bajo,CHIMICHAGUA,CESAR,20175
9,,INVIAS-OTROS,,,19,9.162842,-73.909536,Bajo,EL BANCO,MAGDALENA,47245
7,,INVIAS-OTROS,,,24,9.202068,-73.909321,Bajo,CHIMICHAGUA,CESAR,20175
5,3G012,ANI,RutaSol3_Tramo3_BoscFund,Doble,5,10.023365,-73.909035,Muy Bajo,BOSCONIA,CESAR,20060
2,,INVIAS-OTROS,,,0,9.558792,-73.907948,Muy Bajo,ASTREA,CESAR,20032
4,1G003,ANI,,,32,11.282487,-73.905544,Muy Bajo,SANTA MARTA,MAGDALENA,47001
2,3G012,ANI,RutaSol3_Tramo3_BoscFund,Doble,4,10.009575,-73.903656,Muy Bajo,BOSCONIA,CESAR,20060
10,,INVIAS-OTROS,Americas_Tramo7_TamalaElBanco,Sencilla,7,8.983155,-73.90327,Bajo,EL BANCO,MAGDALENA,47245
10,,INVIAS-OTROS,,,68,9.518352,-73.899408,Bajo,ASTREA,CESAR,20032
3,,INVIAS-OTROS,,,27,9.226542,-73.894444,Muy Bajo,CHIMICHAGUA,CESAR,20175
4,,INVIAS-OTROS,,,2,9.577031,-73.8937,Muy Bajo,ASTREA,CESAR,20032
2,3G012,ANI,RutaSol3_Tramo3_BoscFund,Doble,2,9.984684,-73.893528,Muy Bajo,BOSCONIA,CESAR,20060
5,,INVIAS-OTROS,,,57,9.417622,-73.892541,Muy Bajo,CHIMICHAGUA,CESAR,20175
8,,INVIAS-OTROS,,,59,9.432535,-73.890481,Bajo,CHIMICHAGUA,CESAR,20175
6,,INVIAS-OTROS,,,67,9.506035,-73.889237,Muy Bajo,ASTREA,CESAR,20032
4,,INVIAS-OTROS,,,53,9.397001,-73.888808,Muy Bajo,CHIMICHAGUA,CESAR,20175
10,,INVIAS-OTROS,,,51,9.377443,-73.887756,Bajo,CHIMICHAGUA,CESAR,20175
3,,INVIAS-OTROS,RutaSol2_Tramo_PtoAraLiza,Doble,95,6.708727,-73.883801,Muy Bajo,PUERTO PARRA,SANTANDER,68573
13,,INVIAS-OTROS,,,65,9.48969,-73.883739,Bajo,ASTREA,CESAR,20032
7,,INVIAS-OTROS,Americas_Tramo7_TamalaElBanco,Sencilla,10,8.982289,-73.883114,Bajo,EL BANCO,MAGDALENA,47245
7,,INVIAS-OTROS,,,61,9.449158,-73.882485,Bajo,ASTREA,CESAR,20032
